Date,Open_Price,Close_Price,High_Price,Low_Price,Volume,Daily_Return_Pct,Volatility_Range,VIX_Close,Economic_News_Flag,Sentiment_Score,Federal_Rate_Change_Flag,GeoPolitical_Risk_Score,Currency_Index
2000-01-03,76.13,74.78,78.1,74.12,3100803,-1.7733,3.98,30.04,0,0.293,0,33.07,111.51
2000-01-04,74.78,76.57,78.64,73.5,15638452,2.3937,5.14,32.12,0,0.13,0,4.72,107.07
2000-01-05,76.57,75.52,78.29,75.1,17245833,-1.3713,3.19,37.15,0,0.15,1,48.34,117.72
2000-01-06,75.52,74.75,75.65,74.48,911082,-1.0196,1.17,14.24,1,0.359,1,75.13,93.24
2000-01-07,74.75,76.17,76.91,74.47,3760280,1.8997,2.44,20.05,1,-0.898,0,53.58,89.07
2000-01-10,76.17,76.08,76.8,75.72,5390344,-0.1182,1.08,38.86,1,-0.415,0,63.61,101.67
2000-01-11,76.08,74.1,77.02,71.72,1704846,-2.6025,5.3,10.02,1,-0.837,1,88.86,106.13
2000-01-12,74.1,72.76,74.2,72.68,12769312,-1.8084,1.52,25.07,1,-0.303,0,72.97,104.44
2000-01-13,72.76,72.6,73.52,71.7,17788604,-0.2199,1.82,23.1,0,0.3,1,39.22,98.0
2000-01-14,72.6,75.43,76.57,71.4,7729967,3.8981,5.17,29.81,0,0.569,0,39.04,90.22
2000-01-17,75.43,75.15,75.7,74.48,113450,-0.3712,1.22,49.3,0,0.913,0,90.99,95.64
2000-01-18,75.15,75.99,77.19,74.78,2324942,1.1178,2.41,39.97,0,-0.705,0,65.27,82.58
2000-01-19,75.99,75.39,76.62,74.72,9722988,-0.7896,1.9,48.33,1,0.075,0,63.08,94.51
2000-01-20,75.39,75.0,76.34,73.5,5458785,-0.5173,2.84,19.25,1,0.454,0,36.3,104.01
2000-01-21,75.0,74.0,75.18,72.83,13001323,-1.3333,2.35,37.49,0,0.864,0,38.58,98.67
2000-01-24,74.0,74.37,75.0,72.97,2489342,0.5,2.03,38.64,1,-0.841,1,93.19,110.08
2000-01-25,74.37,74.15,75.34,73.73,8343176,-0.2958,1.61,48.68,0,0.225,0,42.47,109.08
2000-01-26,74.15,74.45,74.56,72.44,2222520,0.4046,2.12,49.86,1,0.546,0,82.65,110.8
2000-01-27,74.45,74.91,75.29,73.64,14968537,0.6179,1.65,33.1,0,0.546,0,54.13,92.35
2000-01-28,74.91,75.46,75.91,73.68,19592680,0.7342,2.23,24.73,0,-0.098,1,3.85,103.89
2000-01-31,75.46,75.04,76.02,74.54,7244796,-0.5566,1.48,40.11,1,0.713,1,14.52,82.82
2000-02-01,75.04,76.66,78.0,74.13,1981418,2.1588,3.87,23.65,1,-0.213,0,36.61,105.69
2000-02-02,76.66,75.97,76.72,75.74,7467553,-0.9001,0.98,17.19,1,0.602,0,69.97,80.22
2000-02-03,75.97,75.1,76.85,73.77,11885626,-1.1452,3.08,34.4,0,0.195,1,16.04,89.27
2000-02-04,75.1,73.5,75.24,72.56,15700610,-2.1305,2.68,38.44,0,-0.625,1,25.8,109.98
2000-02-07,73.5,73.32,73.68,71.6,12510942,-0.2449,2.08,25.97,0,-0.884,0,39.7,119.01
2000-02-08,73.32,72.96,73.52,72.54,5416251,-0.491,0.98,49.94,0,0.05,0,5.31,106.55
